results,dba_name,license_number,inspection_date,facility_type,risk,zip,latitude,longitude,v_cumsum,v_cumsum_cs
Fail,STARBUCKS COFFEE #2484,1139807,12/12/2022,Restaurant,2,60611,41.89826161908875,-87.62516469194003,2,2
Pass,"GREEN APPLE MINI MART, INC",2373500,12/12/2022,Grocery Store,2,60610,41.90855121194696,-87.6383656608268,1,0
Fail,CHEESIE'S PUB & GRUB,2309057,12/12/2022,Restaurant,1,60622,41.90673205406806,-87.67153597636648,15,0
Pass,"EL VASO LOKO, INC.",2487810,12/12/2022,Grocery Store,2,60623,41.84421029865624,-87.71927303905284,2,0
Pass,ST.STANISLAUS KOSTKA SCHOOL,2225423,12/12/2022,School,1,60642,41.904998278202655,-87.66251490612277,1,0
Fail,GREAT LAKES FISH & CHICKEN SHRIMP,2796514,12/12/2022,Restaurant,2,60623,41.85907243743452,-87.71618364678199,7,3
Fail,WINGSTOP,2488559,12/12/2022,Restaurant,1,60651,41.895615313545314,-87.70670532510552,4,1
Pass,7-ELEVEN #30105F,2657921,12/12/2022,Grocery Store,2,60630,41.97329204460575,-87.77824228698391,3,0
Pass,BILLINGS CAFE,2631159,12/12/2022,Restaurant,1,60637,41.78904195612881,-87.60481372206813,3,0
Pass,CENTRAL CAFE,2631156,12/12/2022,Restaurant,1,60637,41.78961184518281,-87.60508472212474,3,0
Fail,ST. ANDREW SCHOOL,1981254,12/12/2022,School,1,60613,41.94706052103321,-87.67180179690027,3,2
Fail,HARRY CARAY'S RESTAURANT,44899,12/12/2022,Restaurant,1,60654,41.88912548800336,-87.62942248880492,4,1
Pass,ASWAQ KAN ZAMAN,2252970,12/12/2022,Grocery Store,2,60634,41.95230949839922,-87.80739896000573,1,0
Pass,Deneen,22931,12/12/2022,School,1,60619,41.76250358684519,-87.62338156210278,5,1
Fail,NUTRITION 56,2882497,12/12/2022,Restaurant,2,60629,41.79019733451897,-87.70360844634406,3,1
Pass,INTERNATIONAL SANDWICH SHOP 2,2621849,12/12/2022,Restaurant,1,60606,41.881967467024346,-87.6351654428475,2,1
Fail,HILTON GARDEN INN/ CANOPY,2802943,12/12/2022,Restaurant,1,60606,41.87822032159353,-87.6345238791842,14,4
Fail,OSTIONERIA RESTAURANT EL EL TECOLOTE,22952,12/12/2022,Restaurant,1,60623,41.84429434676733,-87.71323173049662,29,7
Fail,"MANOLOS TAMALES, INC. #2",1873306,12/12/2022,Restaurant,1,60629,41.77856521317874,-87.74013049868257,13,4
Pass,D'NUEZ,2563480,12/12/2022,Restaurant,1,60608,41.85777101092544,-87.6761195653916,21,6
Fail,RUSH DAY SCHOOL,2225420,12/12/2022,School,3,60612,41.87408196588069,-87.68092243741066,1,1
Fail,CANT BELIEVE ITS NOT MEAT III,2812722,12/12/2022,Restaurant,1,60610,41.90337195107555,-87.6343141547651,7,2
Pass,HUB 51 / SUB 51,1879454,12/12/2022,Restaurant,1,60610,41.889926108890215,-87.62994363769556,10,3
Fail,PANADERIA LOS GALLOS,2026315,12/12/2022,Bakery,2,60623,41.844069583410565,-87.72980747367433,7,3
Pass,SKY CAFE,2631025,12/12/2022,Restaurant,1,60637,41.79126061783551,-87.60508491200589,2,0
Pass,JENI'S ICE CREAM,2882169,12/12/2022,Restaurant,2,60640,41.97827366117178,-87.66848747806307,4,0
Fail,HILTON GARDEN INN/ CANOPY,2802938,12/12/2022,Restaurant,1,60606,41.87822032159353,-87.6345238791842,11,8
Fail,NEVERIA EL SABOR de MEXICO,2646751,12/12/2022,Restaurant,1,60608,41.85765807070628,-87.66781976248548,23,11
Fail,7-ELEVEN #33920H,2831548,12/12/2022,Grocery Store,2,60655,41.69168074856247,-87.70051617452317,5,2
Fail,EL ASADOR EXPRESS,2398424,12/12/2022,Restaurant,1,60632,41.80088492981712,-87.69368248866535,6,1
Pass,DOM'S KITCHEN & MARKET,2872488,12/12/2022,Grocery Store,1,60610,41.904896822179,-87.63436941846913,17,3
Fail,SUBWAY,2446619,12/12/2022,Restaurant,1,60636,41.76789331709745,-87.6640189682719,14,3
Pass,ANDALOUS INC,77499,12/13/2010,Restaurant,1,60657,41.94201045453513,-87.65216891212663,0,0
Fail,NOON O KABAB,54101,12/13/2010,Restaurant,1,60625,41.966280768751815,-87.70826052165359,7,3
Fail,"FIREHOUSE OF DAN RYAN, INC.",1717263,12/13/2019,Restaurant,2,60620,41.73637382027632,-87.62723156456728,9,2
Fail,ROSATIS PIZZA,2781641,12/13/2022,Restaurant,1,60655,41.69168160653974,-87.70043191340156,13,3
Pass,LOS COMALES #3,38805,12/13/2022,Restaurant,1,60608,41.85791847732155,-87.66550671179006,17,4
Fail,LEMME GET UMMM,2856302,12/13/2022,Restaurant,2,60615,41.80189763712391,-87.62220008978774,14,3
Fail,JUST TURKEY GRILL,2839974,12/13/2022,Restaurant,1,60620,41.73638020184098,-87.62769923470614,28,4
Fail,AWAMI BAZAAR & ZABIHA MEAT,68226,12/13/2022,Grocery Store,2,60659,41.99785368943807,-87.68906426569195,13,3
Fail,TACOS EL PARAISO,2626551,12/13/2022,Restaurant,1,60634,41.938766325661774,-87.80662717235832,3,1
Pass,"SUPERMERCADO SANCHEZ, INC.",1648074,12/13/2022,Grocery Store,1,60629,41.78649619589489,-87.69475632036104,22,3
Fail,LA MICHOACANA - MILWAUKEE,2594703,12/13/2022,Restaurant,2,60618,41.93347107979743,-87.71438889069681,25,8
Pass,TE'AMO BOBA BAR,2713243,12/13/2022,Restaurant,2,60611,41.89168851736832,-87.62430717812579,1,0
Pass,FRESH SUSHI CHICAGO,2818123,12/13/2022,Restaurant,1,60641,41.94393670241,-87.73155723006575,1,0
Pass,MARGARITA'S PIZZERIA,1875208,12/13/2022,Restaurant,1,60619,41.75849308118378,-87.61647025913092,22,6
Fail,CHIPOTLE MEXICAN GRILL,2017906,12/13/2022,Restaurant,1,60610,41.91126962078246,-87.6351678448219,3,1
Fail,CULICHI TOWN,2786250,12/13/2022,Restaurant,1,60652,41.75466012439374,-87.74138475860521,24,9
Fail,7-ELEVEN #29726G,2304620,12/13/2022,Grocery Store,2,60613,41.9491572433655,-87.64852661788835,8,1
Pass,FARMAIR'S MARKET,2882577,12/13/2022,Grocery Store,3,60666,42.008536400868735,-87.91442843927047,0,0
Pass,BONJOUR BAKERY,1800739,12/13/2022,Bakery,1,60615,41.795297878365226,-87.58788017604982,2,0
Pass,BREHON PUB,1246,12/13/2022,Restaurant,1,60610,41.89564749189664,-87.63402986481714,2,0
Fail,FRONTERA GRILL/TOPOLOBAMBO/BAR SOTANO,2630985,12/13/2022,Restaurant,1,60654,41.89049729980384,-87.6309492051983,6,3
Fail,TOP NUTRITION,2882496,12/13/2022,Restaurant,2,60629,41.786038330993144,-87.72365455250511,2,1
Fail,POTBELLY SANDWICH WORKS LLC,1543419,12/13/2022,Restaurant,1,60606,41.8794108457744,-87.63710395748413,12,2
Fail,GRESHAM ELEMENTARY SCHOOL,23451,12/13/2022,School,1,60620,41.73891334027122,-87.6450616939937,40,4
Pass,CASA CAFE,2032864,12/13/2022,Restaurant,1,60608,41.85392356205821,-87.68554179721714,3,0
Pass,EL BIGGIE,2863000,12/13/2022,Restaurant,1,60652,41.749292520207895,-87.72394905956,7,1
Fail,VETERANS MEMORIAL CAMPUS,3759938,12/13/2022,School,1,60632,41.80940021157941,-87.73099367323172,23,2
Pass,ATHENA BOARD GAME CAFE,2703796,12/13/2022,Restaurant,2,60626,42.01934594494819,-87.66686650286474,1,1
Fail,SHARKS FISH & CHICKEN,2797071,12/13/2022,Restaurant,2,60636,41.78333925312805,-87.68390047152104,13,2
Pass,NEAR NORTH MONTESSORI SCHOOL,3305900,12/13/2022,School,2,60642,41.90349669933936,-87.66389435422715,0,0
Pass,"CARNITAS MICHOACAN, INC",2493005,12/13/2022,Restaurant,1,60629,41.77847252883317,-87.72900513049825,5,1
Fail,"Washington, Harold",24921,12/13/2022,School,1,60619,41.72853491662006,-87.59629326944139,4,0
Fail,ARAMARK @ HARRIS BANK,2881769,12/13/2022,Restaurant,2,60606,41.8773721295901,-87.63969229307136,0,0
Pass,UNITED CLUB LOUNGE,2881821,12/13/2022,Restaurant,1,60666,42.008536400868735,-87.91442843927047,0,0
Fail,CUERNAVACA BAKERY,2054096,12/13/2022,Bakery,2,60623,41.85190611236992,-87.70306059179393,7,2
Fail,LAESPIGA DE ORO BAKERY,2522,12/13/2022,Bakery,2,60623,41.84637296963218,-87.71377080825256,8,2
Pass,LINDBLOM MATH/SCIENCE ACADEMY,46511,12/13/2022,School,1,60636,41.78204279759414,-87.67169857817186,9,1
Fail,PETEY'S,2294492,12/13/2022,Restaurant,1,60609,41.80920223511207,-87.63286102997611,7,1
Fail,AFC SUSHI @ WALGREENS #15921,2328471,12/13/2022,Grocery Store,1,60611,41.8898747912625,-87.62425976144404,3,3
Pass,UNITED CLUB LOUNGE,2881820,12/13/2022,Restaurant,1,60666,42.008536400868735,-87.91442843927047,2,0
Fail,McDade Classical,29181,12/13/2022,School,1,60619,41.73451386526644,-87.61917677427326,3,1
Fail,SALGADO'S BAKERY,2172690,12/13/2022,Bakery,2,60625,41.96695359844852,-87.71346680927817,8,2
